Organization Description,,Faculty Last,First Initial,,Faculty Name
"Latin Am, Latino, & Iberian Studies",,Soler,P,,"Soler, P."
Biology,,Smith,D,,"Smith, D."
Math & Computer Sciences,,Bax,E,,"Bax, E."
Continuing Studies Credit,,Herbert,S,,"Herbert, S."
Psychology,,Murphy,P,,"Murphy, P."
Sociology & Anthropology,,Schleef,D,,"Schleef, D."
Psychology,,Cooper,W,,"Cooper, W."
Psychology,,Schmidt,M,,"Schmidt, M."
Philosophy,,Wakoff,M,,"Wakoff, M."
Art and Art History,,Gur,M,,"Gur, M."
ECRSB - Instruction,,Berry,S,,"Berry, S."
English,,Jennings,L,,"Jennings, L."
Education,,Neapolitan,J,,"Neapolitan, J."
Law School - Instruction,,Tussey,D,,"Tussey, D."
Political Science,,Stacey,R,,"Stacey, R."
Jepson School - Instruction,,Walker,J,,"Walker, J."
"Languages, Literatures,and Cultures",,Doucet,J,,"Doucet, J."
Law School - Instruction,,Mullen,D,,"Mullen, D."
English,,Hutcheson,J,,"Hutcheson, J."
Law School - Instruction,,Patterson,H,,"Patterson, H."
Chemistry,,Gupton,J,,"Gupton, J."
Education,,Quick,L,,"Quick, L."
Law School - Instruction,,Riopelle,E,,"Riopelle, E."
English,,Larkin,E,,"Larkin, E."
Biology,,Zoghby,K,,"Zoghby, K."
Law School - Instruction,,Jinks,D,,"Jinks, D."
Sociology & Anthropology,,O''Brien,E,,"O''Brien, E."
History,,Watts,S,,"Watts, S."
Law School - Instruction,,Reeves,E,,"Reeves, E."
Jepson School - Instruction,,Faier,E,,"Faier, E."
Jepson School - Instruction,,Faier,E,,"Faier, E."
"Languages, Literatures,and Cultures",,Weist,C,,"Weist, C."
Psychology,,Cox,K,,"Cox, K."
Art and Art History,,Sjovold,E,,"Sjovold, E."
Theatre & Dance Operations,,Holland,D,,"Holland, D."
Law School - Instruction,,Boelzner,D,,"Boelzner, D."
ECRSB - Instruction,,Pasternak,J,,"Pasternak, J."
Biology,,Wohl,D,,"Wohl, D."
Law School - Instruction,,Del Conte,M,,"Del Conte, M."
Biology,,Niedziela,L,,"Niedziela, L."
Music,,Broening,B,,"Broening, B."
Credit Admin,,Tennent,W,,"Tennent, W."
Sociology & Anthropology,,Spear,J,,"Spear, J."
Law School - Instruction,,Bondurant,T,,"Bondurant, T."
Law School - Instruction,,Carrico,H,,"Carrico, H."
Continuing Studies Credit,,Harris,W,,"Harris, W."
Economics,,Hoffer,G,,"Hoffer, G."
Credit Admin,,Odom,R,,"Odom, R."
Continuing Studies Credit,,Perry,S,,"Perry, S."
Continuing Studies Credit,,Quirk,G,,"Quirk, G."
Music,,Stevens,B,,"Stevens, B."
Law School - Instruction,,Ravindra,G,,"Ravindra, G."
Jepson School - Instruction,,Hickok,E,,"Hickok, E."
Law School - Instruction,,McCallum,S,,"McCallum, S."
ECRSB - Instruction,,Huff,M,,"Huff, M."
Continuing Studies Credit,,Roberts,W,,"Roberts, W."
"Latin Am, Latino, & Iberian Studies",,Kaempfer,A,,"Kaempfer, A."
"Languages, Literatures,and Cultures",,Kuhn-Bolanos,F,,"Kuhn-Bolanos, F."
Psychology,,Klatzkin,R,,"Klatzkin, R."
"Latin Am, Latino, & Iberian Studies",,Dean,A,,"Dean, A."
"Languages, Literatures,and Cultures",,Richards,K,,"Richards, K."
Law School - Instruction,,Guare,T,,"Guare, T."
ECRSB - Instruction,,Ireland,R,,"Ireland, R."
Law School - Instruction,,Hungate-Noland,B,,"Hungate-Noland, B."
Accounting,,Geiger,M,,"Geiger, M."
Political Science,,Jones-DeWeever,A,,"Jones-DeWeever, A."
Art and Art History,,Trepanier,H,,"Trepanier, H."
Education,,Keiler,L,,"Keiler, L."
Finance,,Conover,C,,"Conover, C."
History,,Hunter,J,,"Hunter, J."
English,,Marx,J,,"Marx, J."
Theatre & Dance Operations,,Turner,E,,"Turner, E."
Sociology & Anthropology,,Stewart,S,,"Stewart, S."
Music,,Puig,M,,"Puig, M."
Physics,,McClelland,J,,"McClelland, J."
Religion,,Winiarski,D,,"Winiarski, D."
"Latin Am, Latino, & Iberian Studies",,Feldman,S,,"Feldman, S."
English,,Allen,T,,"Allen, T."
Philosophy,,McCormick,M,,"McCormick, M."
Finance,,North,D,,"North, D."
"Latin Am, Latino, & Iberian Studies",,O''Donnell,K,,"O''Donnell, K."
Rhetoric & Communication Studies,,Sahlstein,E,,"Sahlstein, E."
History,,Drell,J,,"Drell, J."
Law School - Instruction,,Frisch,D,,"Frisch, D."
University Museums,,Schlatter,N,,"Schlatter, N."
Psychology,,Ottmar,E,,"Ottmar, E."
Physics,,Fetea,M,,"Fetea, M."
ECRSB - Instruction,,Middleton,M,,"Middleton, M."
Credit Admin,,Altay,N,,"Altay, N."
History,,Clark,D,,"Clark, D."
Law School - Instruction,,Stovall,S,,"Stovall, S."
Art and Art History,,Softic,T,,"Softic, T."
eighth blackbird,,Tzavaras,N,,"Tzavaras, N."
Philosophy,,Bell,I,,"Bell, I."
Chemistry,,Suljak,S,,"Suljak, S."
Political Science,,Roof,T,,"Roof, T."
Psychology,,Grant,J,,"Grant, J."
Political Science,,Covitz,A,,"Covitz, A."
Psychology,,Brown,V,,"Brown, V."
ECRSB - Instruction,,Frings,V,,"Frings, V."
Law School - Instruction,,Schwartz,T,,"Schwartz, T."
Political Science,,Butler,R,,"Butler, R."
Sociology & Anthropology,,Walker,K,,"Walker, K."
Law School - Instruction,,Holmes,C,,"Holmes, C."
Continuing Studies Credit,,Lane,K,,"Lane, K."
Continuing Studies Credit,,Thornton,L,,"Thornton, L."
Law School - Instruction,,Brady,K,,"Brady, K."
Law School - Instruction,,Lain,C,,"Lain, C."
Law School - Instruction,,Weirda,M,,"Weirda, M."
Political Science,,DeWeever,G,,"DeWeever, G."
Psychology,,Kerr,N,,"Kerr, N."
Physics,,Chaudhry,A,,"Chaudhry, A."
ECRSB - Instruction,,Wright,R,,"Wright, R."
Law School - Instruction,,Adams,R,,"Adams, R."
Psychology,,Farkas,I,,"Farkas, I."
Environmental Studies,,Rosatelli,M,,"Rosatelli, M."
Music,,Hulin,C,,"Hulin, C."
Music,,Pharr,K,,"Pharr, K."
Marketing,,Ridgway,N,,"Ridgway, N."
ECRSB - Instruction,,Coombs,J,,"Coombs, J."
Law School - Instruction,,Christian,M,,"Christian, M."
Music,,Moeser,C,,"Moeser, C."
Law School - Instruction,,Nowak,J,,"Nowak, J."
ECRSB - Instruction,,Webb,K,,"Webb, K."
Finance,,Szakmary,A,,"Szakmary, A."
Music,,Hooker,L,,"Hooker, L."
Law School - Instruction,,Haas,S,,"Haas, S."
Music,,Harman,K,,"Harman, K."
Jepson School - Instruction,,Mountcastle,J,,"Mountcastle, J."
History,,Basso,M,,"Basso, M."
Chemistry,,Hamm,M,,"Hamm, M."
"Latin Am, Latino, & Iberian Studies",,Abreu,D,,"Abreu, D."
Sociology & Anthropology,,Jackson,R,,"Jackson, R."
Psychology,,Crawford,L,,"Crawford, L."
English,,Cheever,A,,"Cheever, A."
Law School - Instruction,,Strasser,M,,"Strasser, M."
Geography Department,,Harrison,J,,"Harrison, J."
Jepson School - Instruction,,Goethals,G,,"Goethals, G."
Political Science,,Erkulwater,J,,"Erkulwater, J."
Jepson School - Instruction,,Lewis,A,,"Lewis, A."
Math & Computer Sciences,,Lawson,B,,"Lawson, B."
Economics,,Monks,J,,"Monks, J."
"Languages, Literatures,and Cultures",,Belliard,M,,"Belliard, M."
Chemistry,,Bell,E,,"Bell, E."
"Languages, Literatures,and Cultures",,Fages,G,,"Fages, G."
"Languages, Literatures,and Cultures",,Matorras,R,,"Matorras, R."
Physics,,Beausang,C,,"Beausang, C."
Continuing Studies Credit,,Geary,D,,"Geary, D."
Math & Computer Sciences,,Kuntz,S,,"Kuntz, S."
English,,Grove,N,,"Grove, N."
"Languages, Literatures,and Cultures",,Gidrewicz,J,,"Gidrewicz, J."
Music,,Kordzaia,A,,"Kordzaia, A."
Intl Scholar in Residence,,Pollard,V,,"Pollard, V."
Management,,Hillgrove,S,,"Hillgrove, S."
Math & Computer Sciences,,Szajda,D,,"Szajda, D."
Continuing Studies Credit,,Sheehan,E,,"Sheehan, E."
Credit Admin,,Berry,W,,"Berry, W."
ECRSB - Instruction,,Graboyes,R,,"Graboyes, R."
Chemistry,,Norwood,B,,"Norwood, B."
Psychology,,Daly,J,,"Daly, J."
"Languages, Literatures,and Cultures",,Raymond,H,,"Raymond, H."
Rhetoric & Communication Studies,,Kuswa,K,,"Kuswa, K."
Political Science,,Thompson,K,,"Thompson, K."
Law School - Instruction,,Boudreaux,P,,"Boudreaux, P."
ECRSB - Instruction,,Cobble,M,,"Cobble, M."
Journalism,,Mullen,E,,"Mullen, E."
Law School - Instruction,,Miller,S,,"Miller, S."
Music,,Esleck,D,,"Esleck, D."
Credit Admin,,Gilliam,L,,"Gilliam, L."
"Languages, Literatures,and Cultures",,Sulzer-Reichel,M,,"Sulzer-Reichel, M."
ECRSB - Instruction,,Harsh,J,,"Harsh, J."
Law School - Instruction,,Booker,C,,"Booker, C."
Art and Art History,,Ashe,L,,"Ashe, L."
Journalism,,Kindel,G,,"Kindel, G."
Political Science,,Sedghi,H,,"Sedghi, H."
ECRSB - Instruction,,Deans,P,,"Deans, P."
Marketing,,Gilstrap,K,,"Gilstrap, K."
Credit Admin,,Kellison,K,,"Kellison, K."
Chemistry,,Miller,R,,"Miller, R."
History,,Mack-Shelton,K,,"Mack-Shelton, K."
Theatre & Dance Operations,,Landi,P,,"Landi, P."
Law School - Instruction,,Dobbs,A,,"Dobbs, A."
Music,,Jellison,A,,"Jellison, A."
Chemistry,,Leopold,M,,"Leopold, M."
"Languages, Literatures,and Cultures",,Baker,J,,"Baker, J."
Math & Computer Sciences,,Owen,W,,"Owen, W."
Biology,,Runyen-Janecky,L,,"Runyen-Janecky, L."
History,,Lam,T,,"Lam, T."
Rhetoric & Communication Studies,,Pathak,A,,"Pathak, A."
History,,Blecher,R,,"Blecher, R."
English,,Saal,I,,"Saal, I."
"Languages, Literatures,and Cultures",,Kerr,R,,"Kerr, R."
Biology,,Warrick,J,,"Warrick, J."
Physics,,Bunn,E,,"Bunn, E."
History,,Brandenberger,D,,"Brandenberger, D."
Sociology & Anthropology,,Murphy,J,,"Murphy, J."
Intl Scholar in Residence,,Wuerth,A,,"Wuerth, A."
Physics,,Todor,L,,"Todor, L."
ECRSB - Instruction,,Adams,M,,"Adams, M."
English,,Hugar,R,,"Hugar, R."
Law School - Instruction,,Gibson,J,,"Gibson, J."
Art and Art History,,Pevny,O,,"Pevny, O."
Art and Art History,,Hirst,L,,"Hirst, L."
ECRSB - Instruction,,Collett,P,,"Collett, P."
ECRSB - Instruction,,Ratnatunga,J,,"Ratnatunga, J."
Political Science,,Ladutke,L,,"Ladutke, L."
English,,Carleton,L,,"Carleton, L."
Jepson School - Instruction,,Ruscio,K,,"Ruscio, K."
Law School - Instruction,,Nowicki,E,,"Nowicki, E."
Law School - Instruction,,Kelly,M,,"Kelly, M."
Artist-In-Residence,,Shaffner,C,,"Shaffner, C."
Continuing Studies Credit,,Hall,W,,"Hall, W."
Biology,,Vaughan,J,,"Vaughan, J."
Music,,Yim,S,,"Yim, S."
Law School - Instruction,,Goemann,M,,"Goemann, M."
Psychology,,Hakman,M,,"Hakman, M."
Law School - Instruction,,Thompson,P,,"Thompson, P."
Psychology,,Markus,M,,"Markus, M."
English,,Bell,J,,"Bell, J."
Biology,,Bowne,D,,"Bowne, D."
ECRSB - Instruction,,Heales,J,,"Heales, J."
Biology,,Boone,E,,"Boone, E."
Math & Computer Sciences,,Jedwab,J,,"Jedwab, J."
Sociology & Anthropology,,Abse,E,,"Abse, E."
"Languages, Literatures,and Cultures",,Lai,H,,"Lai, H."
Marketing,,Kukar-Kinney,M,,"Kukar-Kinney, M."
Religion,,Kelly,W,,"Kelly, W."
History,,McGarvie,M,,"McGarvie, M."
Classical Studies,,Bonfante,L,,"Bonfante, L."
Law School - Instruction,,Snyder,J,,"Snyder, J."
Finance,,Arnold,T,,"Arnold, T."
Jepson School - Instruction,,Hoyt,C,,"Hoyt, C."
Management,,Eynan,A,,"Eynan, A."
Psychology,,Abrams,K,,"Abrams, K."
Music,,Stanyek,J,,"Stanyek, J."
Economics,,Croushore,D,,"Croushore, D."
Physics,,Nebel,H,,"Nebel, H."
Finance,,Fishe,R,,"Fishe, R."
Political Science,,Pichanick,A,,"Pichanick, A."
Jepson School - Instruction,,McDowell,G,,"McDowell, G."
Continuing Studies Credit,,Krickovic,W,,"Krickovic, W."
Accounting,,Vendrzyk,V,,"Vendrzyk, V."
Law School - Instruction,,Tobias,C,,"Tobias, C."
Sociology & Anthropology,,Molloy,J,,"Molloy, J."
Law School - Instruction,,Chambers,H,,"Chambers, H."
"Languages, Literatures,and Cultures",,Scinicariello,S,,"Scinicariello, S."
Political Science,,Simpson,A,,"Simpson, A."
Political Science,,Hume,R,,"Hume, R."
Classical Studies,,Kohn,T,,"Kohn, T."
Music,,McComb,J,,"McComb, J."
Accounting,,Zhurba,D,,"Zhurba, D."
Music,,Weaver,J,,"Weaver, J."
Psychology,,Zhao,X,,"Zhao, X."
Sociology & Anthropology,,Ransom,E,,"Ransom, E."
Law School - Instruction,,Wagner,R,,"Wagner, R."
Math & Computer Sciences,,Wibberly,L,,"Wibberly, L."
Law School - Instruction,,Titley,I,,"Titley, I."
Biology,,Van Meter,T,,"Van Meter, T."
Law School - Instruction,,Reid,B,,"Reid, B."
Music,,Chandler,C,,"Chandler, C."
Law School - Instruction,,Hudson,H,,"Hudson, H."
International Education,,Salvatore,R,,"Salvatore, R."
ECRSB - Instruction,,Bamford,C,,"Bamford, C."
Law School - Instruction,,Bondurant,S,,"Bondurant, S."
Law School - Instruction,,Collins,M,,"Collins, M."
English,,Mercer,R,,"Mercer, R."
Biology,,Hill,A,,"Hill, A."
History,,Richards,L,,"Richards, L."
Biology,,Gindhart,J,,"Gindhart, J."
Biology,,Knight,S,,"Knight, S."
Rhetoric & Communication Studies,,Achter,P,,"Achter, P."
Law School - Instruction,,Aghdami,F,,"Aghdami, F."
Continuing Studies Credit,,Poindexter,M,,"Poindexter, M."
Biology,,Hill,M,,"Hill, M."
Marketing,,Bergman,W,,"Bergman, W."
Finance,,Carleton,J,,"Carleton, J."
English,,Lurie,P,,"Lurie, P."
Biology,,Boland,L,,"Boland, L."
Math & Computer Sciences,,Trapp,K,,"Trapp, K."
Chemistry,,Dattelbaum,J,,"Dattelbaum, J."
Physics,,Trawick,M,,"Trawick, M."
Chemistry,,Banner,E,,"Banner, E."
Math & Computer Sciences,,Shaw,K,,"Shaw, K."
Music,,Longobardi,R,,"Longobardi, R."
ECRSB - Instruction,,Asaftei,G,,"Asaftei, G."
Chemistry,,Johnson,M,,"Johnson, M."
Law School - Instruction,,Bork,R,,"Bork, R."
Law School - Instruction,,Spencer,A,,"Spencer, A."
"Languages, Literatures,and Cultures",,Pappas,S,,"Pappas, S."
Jepson School - Instruction,,Mitric,A,,"Mitric, A."
History,,Rorabaugh,W,,"Rorabaugh, W."
ECRSB - Instruction,,Kelly,G,,"Kelly, G."
Art and Art History,,Calvillo,E,,"Calvillo, E."
"Latin Am, Latino, & Iberian Studies",,Middlebrooks,L,,"Middlebrooks, L."
Management,,Harrison,J,,"Harrison, J."
Theatre & Dance Operations,,Mike,C,,"Mike, C."
Music,,Bezerra,J,,"Bezerra, J."
Marketing,,Kortash,K,,"Kortash, K."
Sociology & Anthropology,,Baykal,A,,"Baykal, A."
"Languages, Literatures,and Cultures",,Roque,R,,"Roque, R."
MBA Programs,,Kemp,T,,"Kemp, T."
Political Science,,McCartney,P,,"McCartney, P."
English,,Low-Weso,D,,"Low-Weso, D."
Credit Admin,,Peters,D,,"Peters, D."
Psychology,,Kim,J,,"Kim, J."
Law School - Instruction,,Maguire,M,,"Maguire, M."
eighth blackbird,,Albert,M,,"Albert, M."
eighth blackbird,,Photinos,N,,"Photinos, N."
eighth blackbird,,Barth,M,,"Barth, M."
eighth blackbird,,Maccaferri,M,,"Maccaferri, M."
eighth blackbird,,Kaplan,L,,"Kaplan, L."
eighth blackbird,,Duvall,M,,"Duvall, M."
History,,Marks,S,,"Marks, S."
Continuing Studies Credit,,Zelinski,D,,"Zelinski, D."
Management,,Thompson,S,,"Thompson, S."
Continuing Studies Credit,,Bradshaw,K,,"Bradshaw, K."
Biology,,Marks,C,,"Marks, C."
International Education,,Allen,M,,"Allen, M."
Political Science,,Labonte,M,,"Labonte, M."
Biology,,Treonis,A,,"Treonis, A."
Law School - Instruction,,Gibney,J,,"Gibney, J."
Management,,Tallman,S,,"Tallman, S."
Chemistry,,Parish,C,,"Parish, C."
"Latin Am, Latino, & Iberian Studies",,Marrero,R,,"Marrero, R."
Biology,,Patterson,J,,"Patterson, J."
History,,Sackley,N,,"Sackley, N."
Jepson School - Instruction,,Williamson,T,,"Williamson, T."
Credit Admin,,Belkind,O,,"Belkind, O."
Music,,Highstein,G,,"Highstein, G."
Management,,Phillips,R,,"Phillips, R."
Art and Art History,,Drummond,J,,"Drummond, J."
Law School - Instruction,,Tate,M,,"Tate, M."
ECRSB - Instruction,,Stone,R,,"Stone, R."
Music,,Pellegrinelli,L,,"Pellegrinelli, L."
ECRSB - Instruction,,Moody,D,,"Moody, D."
English,,Stevens,J,,"Stevens, J."
English,,Henry,B,,"Henry, B."
Geography Department,,Bosak,K,,"Bosak, K."
Law School - Instruction,,Schneider,D,,"Schneider, D."
Chemistry,,Downey,C,,"Downey, C."
"Latin Am, Latino, & Iberian Studies",,Valencia,C,,"Valencia, C."
Rhetoric & Communication Studies,,Brovero,A,,"Brovero, A."
Political Science,,Adams,P,,"Adams, P."
Political Science,,Karaagac,J,,"Karaagac, J."
Math & Computer Sciences,,Rhodes,B,,"Rhodes, B."
Political Science,,Baker,E,,"Baker, E."
Sociology & Anthropology,,Vogel,H,,"Vogel, H."
History,,Findlen,P,,"Findlen, P."
Political Science,,Patterson,T,,"Patterson, T."
Psychology,,Bardi,M,,"Bardi, M."
Theatre & Dance Operations,,England,P,,"England, P."
Theatre & Dance Operations,,Foster,S,,"Foster, S."
Continuing Studies Credit,,Brown,S,,"Brown, S."
Jepson School - Instruction,,Beaulieu,G,,"Beaulieu, G."
Credit Admin,,Corallo,C,,"Corallo, C."
Physics,,Lesher,S,,"Lesher, S."
Geography Department,,Finley-Brook,M,,"Finley-Brook, M."
Psychology,,Bukach,C,,"Bukach, C."
Physics,,Lipan,O,,"Lipan, O."
Chemistry,,Gentile,L,,"Gentile, L."
Sociology & Anthropology,,Hass,J,,"Hass, J."
Law School - Instruction,,Sachs,N,,"Sachs, N."
Continuing Studies Credit,,Forbes,M,,"Forbes, M."
Chemistry,,Downey,E,,"Downey, E."
Law School - Instruction,,Osenga,K,,"Osenga, K."
Management,,Bosse,D,,"Bosse, D."
ECRSB - Instruction,,Pollack,J,,"Pollack, J."
Biology,,Grayson,K,,"Grayson, K."
Biology,,Telang,A,,"Telang, A."
Jepson School - Instruction,,Zivi,K,,"Zivi, K."
Political Science,,Sznajder Lee,A,,"Sznajder Lee, A."
History,,Yanikdag,Y,,"Yanikdag, Y."
"Languages, Literatures,and Cultures",,Radi,L,,"Radi, L."
Law School - Instruction,,Cotropia,C,,"Cotropia, C."
Rhetoric & Communication Studies,,Swanson,A,,"Swanson, A."
Music,,McGraw,A,,"McGraw, A."
"Latin Am, Latino, & Iberian Studies",,Simpson,M,,"Simpson, M."
Economics,,Mago,S,,"Mago, S."
Rhetoric & Communication Studies,,Albada-Jelgersma,K,,"Albada-Jelgersma, K."
Art and Art History,,Veryeri Alaca,I,,"Veryeri Alaca, I."
"Latin Am, Latino, & Iberian Studies",,Ramos-Tremolada,R,,"Ramos-Tremolada, R."
Sociology & Anthropology,,French,J,,"French, J."
Classical Studies,,Folch,M,,"Folch, M."
Law School - Instruction,,Gerson,F,,"Gerson, F."
Law School - Instruction,,Fidlow,B,,"Fidlow, B."
English,,Hanrahan,H,,"Hanrahan, H."
Intl Scholar in Residence,,Sommer,P,,"Sommer, P."
Chemistry,,Smith,T,,"Smith, T."
Philosophy,,Hedrick,T,,"Hedrick, T."
Continuing Studies Credit,,Wieder,C,,"Wieder, C."
Political Science,,Cusick,R,,"Cusick, R."
ECRSB - Instruction,,Busija,E,,"Busija, E."
ECRSB - Instruction,,Chen,X,,"Chen, X."
Continuing Studies Credit,,Carvelli,D,,"Carvelli, D."
English,,Salamon,T,,"Salamon, T."
Political Science,,Dasovic,J,,"Dasovic, J."
Credit Admin,,Strait,P,,"Strait, P."
Rhetoric & Communication Studies,,Congdon,K,,"Congdon, K."
Continuing Studies Credit,,Lee,C,,"Lee, C."
Theatre & Dance Operations,,Campbell,C,,"Campbell, C."
Theatre & Dance Operations,,Hogg,H,,"Hogg, H."
Music,,Stevens,T,,"Stevens, T."
Intl Scholar in Residence,,Karasar,H,,"Karasar, H."
eighth blackbird,,Munro,T,,"Munro, T."
Management,,Ekman,P,,"Ekman, P."
Jepson School - Instruction,,Marturano,A,,"Marturano, A."
Jepson School - Instruction,,Ouellette,D,,"Ouellette, D."
Law School - Instruction,,Benjamin,V,,"Benjamin, V."
Management,,Whitaker,J,,"Whitaker, J."
Theatre & Dance Operations,,Badejo,P,,"Badejo, P."
Geography Department,,Salisbury,D,,"Salisbury, D."
Law School - Instruction,,Erickson,J,,"Erickson, J."
Journalism,,Bevine,S,,"Bevine, S."
Art and Art History,,Rebele,T,,"Rebele, T."
"Latin Am, Latino, & Iberian Studies",,Fuentes-Rios,A,,"Fuentes-Rios, A."
History,,Carter,D,,"Carter, D."
Political Science,,Simon,S,,"Simon, S."
Economics,,Heinicke,C,,"Heinicke, C."
"Languages, Literatures,and Cultures",,Delers,O,,"Delers, O."
English,,Pelletier,K,,"Pelletier, K."
History,,Loo,T,,"Loo, T."
Classical Studies,,Baughan,E,,"Baughan, E."
Marketing,,Marquardt,A,,"Marquardt, A."
"Latin Am, Latino, & Iberian Studies",,Otero-Blanco,A,,"Otero-Blanco, A."
Geography Department,,Browne,K,,"Browne, K."
History,,Pine,M,,"Pine, M."
English,,Siebert,M,,"Siebert, M."
Sociology & Anthropology,,Einolf,C,,"Einolf, C."
Theatre & Dance Operations,,Stegmeir,J,,"Stegmeir, J."
Law School - Instruction,,Pager,S,,"Pager, S."
Sociology & Anthropology,,Fisher,G,,"Fisher, G."
Chemistry,,Donald,K,,"Donald, K."
Philosophy,,Stedman,J,,"Stedman, J."
Political Science,,Ritter,T,,"Ritter, T."
"Latin Am, Latino, & Iberian Studies",,Mendez de Coudriet,M,,"Mendez de Coudriet, M."
"Latin Am, Latino, & Iberian Studies",,Mendez de Coudriet,M,,"Mendez de Coudriet, M."
Physics,,Samanta,C,,"Samanta, C."
Physics,,Allmond,J,,"Allmond, J."
Credit Admin,,Luitel,H,,"Luitel, H."
Rhetoric & Communication Studies,,Mohammadi,O,,"Mohammadi, O."
Economics,,Schilling,T,,"Schilling, T."
Theatre & Dance Operations,,Hooper,D,,"Hooper, D."
"Latin Am, Latino, & Iberian Studies",,Toro-Hernandez,L,,"Toro-Hernandez, L."
Music,,Scott,J,,"Scott, J."
History,,Checkovich,A,,"Checkovich, A."
Law School - Instruction,,Mcbeth,I,,"Mcbeth, I."
Math & Computer Sciences,,Shannon,K,,"Shannon, K."
Political Science,,Pribble,J,,"Pribble, J."
Journalism,,Hodierne,P,,"Hodierne, P."
Law School - Instruction,,Preis,J,,"Preis, J."
History,,May,E,,"May, E."
History,,May,L,,"May, L."
"Languages, Literatures,and Cultures",,Baranova,I,,"Baranova, I."
Law School - Instruction,,Cecka,D,,"Cecka, D."
Psychology,,Lindgren,K,,"Lindgren, K."
Law School - Instruction,,Fisher,W,,"Fisher, W."
Jepson School - Instruction,,Kaufman,P,,"Kaufman, P."
Psychology,,Liu,Y,,"Liu, Y."
Management,,Noland,J,,"Noland, J."
Religion,,Glancy,J,,"Glancy, J."
Jepson School - Instruction,,Kim,S,,"Kim, S."
"Latin Am, Latino, & Iberian Studies",,Izquierdo,L,,"Izquierdo, L."
English,,Outka,E,,"Outka, E."
ECRSB - Instruction,,Mykhaylova,O,,"Mykhaylova, O."
Law School - Instruction,,Vojdik,V,,"Vojdik, V."
ECRSB - Instruction,,Panasian,C,,"Panasian, C."
Education,,Bryner,T,,"Bryner, T."
"Languages, Literatures,and Cultures",,Stauffer,A,,"Stauffer, A."
ECRSB - Instruction,,Bahadir,B,,"Bahadir, B."
Theatre & Dance Operations,,Commelin,J,,"Commelin, J."
Law School - Instruction,,Choudhury,C,,"Choudhury, C."
ECRSB - Instruction,,Khalil,E,,"Khalil, E."
Law School - Instruction,,Allred,S,,"Allred, S."
English,,Browder,L,,"Browder, L."
Law School - Instruction,,Davis,A,,"Davis, A."
Law School - Instruction,,Oman,N,,"Oman, N."
Continuing Studies Credit,,Shuai,X,,"Shuai, X."
Music,,Yoon,P,,"Yoon, P."
Rhetoric & Communication Studies,,Feaster,J,,"Feaster, J."
"Latin Am, Latino, & Iberian Studies",,Rojas,E,,"Rojas, E."
MBA Programs,,Doherty,T,,"Doherty, T."
Accounting,,van der Laan Smith,J,,"van der Laan Smith, J."
Biology,,Weisz,J,,"Weisz, J."
Sociology & Anthropology,,Toussaint,J,,"Toussaint, J."
Philosophy,,Simmons,A,,"Simmons, A."
Law School - Instruction,,Hawkins,R,,"Hawkins, R."
Philosophy,,Andrews,D,,"Andrews, D."
Continuing Studies Credit,,Edinger,M,,"Edinger, M."
Art and Art History,,Gonzalez,V,,"Gonzalez, V."
Political Science,,Inal,T,,"Inal, T."
History,,Doyle,D,,"Doyle, D."
ECRSB - Instruction,,Yang,S,,"Yang, S."
History,,Rodriguez,V,,"Rodriguez, V."
Music,,Pedersen,D,,"Pedersen, D."
Credit Admin,,Temple,J,,"Temple, J."
Marketing,,Whipple,A,,"Whipple, A."
Continuing Studies Credit,,Cowlbeck,B,,"Cowlbeck, B."
Economics,,Wolman,A,,"Wolman, A."
Continuing Studies Credit,,Feagans,S,,"Feagans, S."
ECRSB - Instruction,,Krumwiede,K,,"Krumwiede, K."
ECRSB - Instruction,,Selby,D,,"Selby, D."
Chemistry,,Nolin,K,,"Nolin, K."
Management,,Ho,V,,"Ho, V."
Law School - Instruction,,Walsh,K,,"Walsh, K."
Law School - Instruction,,Tingen,J,,"Tingen, J."
Political Science,,Datta,M,,"Datta, M."
Political Science,,Long,S,,"Long, S."
Law School - Instruction,,Harbach,M,,"Harbach, M."
"Languages, Literatures,and Cultures",,Qian,K,,"Qian, K."
"Languages, Literatures,and Cultures",,Tai,S,,"Tai, S."
Jepson School - Instruction,,Liebert,H,,"Liebert, H."
ECRSB - Instruction,,Shi,R,,"Shi, R."
Biology,,Wu,C,,"Wu, C."
Biology,,Wu,E,,"Wu, E."
Theatre & Dance Operations,,Herrera,P,,"Herrera, P."
Environmental Studies,,Lookingbill,T,,"Lookingbill, T."
Education,,Leeper,A,,"Leeper, A."
Biology,,Evans,A,,"Evans, A."
History,,Meyer,M,,"Meyer, M."
Continuing Studies Credit,,Allan,M,,"Allan, M."
Physics,,Serej,S,,"Serej, S."
Chemistry,,Kellogg,D,,"Kellogg, D."
Philosophy,,Lefkowitz,D,,"Lefkowitz, D."
Sociology & Anthropology,,Richards,B,,"Richards, B."
Psychology,,Franssen,R,,"Franssen, R."
Political Science,,Uzzell,L,,"Uzzell, L."
Rhetoric & Communication Studies,,Tonn,M,,"Tonn, M."
"Languages, Literatures,and Cultures",,Abushkheidem,S,,"Abushkheidem, S."
Law School - Instruction,,Epstein,D,,"Epstein, D."
Political Science,,Lee,C,,"Lee, C."
Psychology,,Kilb,A,,"Kilb, A."
Theatre & Dance Performance,,Broomfield,M,,"Broomfield, M."
